,d,p,n_LU,tim_Kd,Nc,rel_Lp,rel_K,tim_Lp,tim_K
0,1,88,192.0,0.22477149963378906,4,"(0.9997290895849724, 0.9997290895849879)",0.9997290895849849,1.6659915447235107,0.893507719039917
1,1,88,192.0,0.22477149963378906,8,"(0.9997290895849724, 0.9997290895849879)",0.9997290895849849,1.672177791595459,0.7768054008483887
2,1,88,192.0,0.22477149963378906,12,"(0.9997290895849724, 0.9997290895849879)",0.9997290895849849,1.6656782627105713,0.838076114654541
3,1,88,192.0,0.22477149963378906,16,"(0.9997290895849724, 0.9997290895849879)",0.9997290895849849,1.6608078479766846,0.8898332118988037
4,1,88,192.0,0.22477149963378906,20,"(0.9997290895849724, 0.9997290895849879)",0.9997290895849849,1.6929938793182373,0.9760844707489014
5,1,88,192.0,0.22477149963378906,24,"(0.9997290895849724, 0.9997290895849879)",0.9997290895849849,1.6595430374145508,1.036750316619873
6,1,88,192.0,0.22477149963378906,28,"(0.9997290895849724, 0.9997290895849879)",0.9997290895849849,1.6936969757080078,1.1110782623291016
7,2,2573,6750.0,6.9315454959869385,4,"(0.9956253028435174, 0.9956253028443173)",0.9956253028440305,71.56699657440186,73.45461392402649
8,2,2573,6750.0,6.9315454959869385,8,"(0.9956253028438914, 0.9956253028440575)",0.9956253028440305,59.458526849746704,57.867998123168945
9,2,2573,6750.0,6.9315454959869385,12,"(0.9956253028438914, 0.9956253028440575)",0.9956253028440305,59.42387914657593,47.43044972419739
10,2,2573,6750.0,6.9315454959869385,16,"(0.9956253028438914, 0.9956253028440575)",0.9956253028440305,59.756218910217285,34.21893858909607
11,2,2573,6750.0,6.9315454959869385,20,"(0.9956253028438914, 0.9956253028440575)",0.9956253028440305,59.825361251831055,34.593886852264404
12,2,2573,6750.0,6.9315454959869385,24,"(0.9956253028438914, 0.9956253028440575)",0.9956253028440305,59.50852870941162,33.89402103424072
13,2,2573,6750.0,6.9315454959869385,28,"(0.9956253028438914, 0.9956253028440575)",0.9956253028440305,59.30801486968994,27.47616934776306
14,3,40140,110007.0,112.52291965484619,4,"(0.9701349537160929, 0.9701349537376064)",0.970134953728641,3532.7436797618866,6058.9008865356445
15,3,40140,110007.0,112.52291965484619,8,"(0.970134953726059, 0.9701349537307788)",0.970134953728641,2458.683529138565,4158.7725393772125
16,3,40140,110007.0,112.52291965484619,12,"(0.9701349537260664, 0.9701349537307012)",0.970134953728641,2419.812584877014,3299.204412460327
17,3,40140,110007.0,112.52291965484619,16,"(0.9701349537260664, 0.9701349537307012)",0.970134953728641,2432.442314386368,3096.3851912021637
18,3,40140,110007.0,112.52291965484619,20,"(0.9701349537260664, 0.9701349537307012)",0.970134953728641,2436.4506182670593,2976.332705259323
19,3,40140,110007.0,112.52291965484619,24,"(0.9701349537260664, 0.9701349537307012)",0.970134953728641,2431.326715707779,2914.1769468784332
20,3,40140,110007.0,112.52291965484619,28,"(0.9701349537260664, 0.9701349537307012)",0.970134953728641,2419.8708419799805,2778.9180545806885
